id;PRIX;Marque;MODELE;MOTEUR;ANNEE;CARBURANT;KILOMETRAGE;NoteConsommation;Fiabilite;DureeGarantie;Performance;CoteAttendue;Habitabilite
1681300508-307;71950;DS;7 CROSSBACK;1.6 E-TENSE 300 PERFORMANCE LINE +;2023;Hybrides;9440;3.5;4;2.5;2.5;3.5;3.5
1681300508-308;18390;PEUGEOT;308 II phase 2;1.5 BLUEHDI 130 STYLE;2020;Diesel;107134;3.5;4;2.5;3;4;4
1681300508-309;19250;PEUGEOT;308 II SW phase 2;1.5 BLUEHDI 130 ACTIVE BUSINESS;2020;Diesel;85701;3.5;3;2.5;3;4;4
1681300508-310;31200;VOLKSWAGEN;TAIGO;LIFE PLUS 1.0 TSI 110CH AUTOMATIQUE;2024;Essence;11;3.5;3.5;2.5;3.5;3;3.5
1681300508-311;20960;AUDI;A3 III SPORTBACK phase 2;1.6 TDI 116 SPORT;2018;Diesel;128804;3.5;3.5;2.5;3.5;4;4
1681300508-312;44980;DS;7 CROSSBACK;1.6 E-TENSE 225 SO CHIC;2022;Hybrides;31125;3.5;3;2.5;4;3;3.5
1681300508-313;22750;PEUGEOT;3008 II;1.2 PURETECH 130 GT LINE;2019;Essence;91521;5;3;2.5;3;4;4.5
1681300508-314;36590;PEUGEOT;5008 II;2.0 BLUEHDI 180 GT LINE;2019;Diesel;86620;5;3;2.5;3.5;3;4
1681300508-315;30520;LAND;ROVER RANGE ROVER EVOQUE phase 2;2.0 TD4 180 SE DYNAMIC;2017;Diesel;100595;4.5;3;2.5;4;3;3.5
1681300508-316;13180;MAZDA;CX-3;1.5 SKYACTIV-D 105 DYNAMIQUE;2017;Diesel;144781;4;3.5;2.5;4;3;2.5
1681300508-317;29330;RENAULT;MEGANE 4;INTENS 1.3 TCE 140CH AUTOMATIQUE;2022;Essence;44981;4;3.5;2;3;3;3
1681300508-318;42980;OPEL;MOKKA II;50kWh ELECTRIQUE 136 GS LINE;2023;electrique;3013;4;3.5;2;3.5;2;3.5
1681300508-319;19750;RENAULT;CLIO V;1.3 TCE 140 RS LINE;2022;Essence;54590;4;3.5;2;3;3;3
1681300508-320;135340;CHEVROLET;CORVETTE C8 STINGRAY TARGA;6.2 V8 482 3LT;2023;Essence;26;4.5;3;2;3.5;3.5;4.5
1681300508-321;9400;RENAULT;CLIO IV SOCIETE phase 2;1.5 DCI 90 AIR MEDIANAV;2020;Diesel;89870;4;3;2;3;3;4.5
1681300508-322;37920;DS;7 CROSSBACK;2.0 BLUEHDI 180 GRAND CHIC;2020;Diesel;67986;4;3.5;2;3;3.5;4
1681300508-323;22210;CITROEN;C3 III;1.2 PURETECH 110 FEEL;2020;Essence;18380;3.5;3.5;2;3;3;3.5
1681300508-324;71950;DS;7 CROSSBACK;1.6 E-TENSE 300 PERFORMANCE LINE +;2023;Hybrides;9440;3.5;3.5;2;3.5;3;3
1681300508-325;18390;PEUGEOT;308 II phase 2;1.5 BLUEHDI 130 STYLE;2020;Diesel;107134;3;4;2;3;4;3.5
1681300508-326;19250;PEUGEOT;308 II SW phase 2;1.5 BLUEHDI 130 ACTIVE BUSINESS;2020;Diesel;85701;3;4;2;3;3;4
1681300508-327;31200;VOLKSWAGEN;TAIGO;LIFE PLUS 1.0 TSI 110CH AUTOMATIQUE;2024;Essence;11;3.5;4;2.5;2.5;2;3.5
1681300508-328;20960;AUDI;A3 III SPORTBACK phase 2;1.6 TDI 116 SPORT;2018;Diesel;128804;3.5;4;2.5;3;3;3.5
1681300508-329;44980;DS;7 CROSSBACK;1.6 E-TENSE 225 SO CHIC;2022;Hybrides;31125;3.5;3;2.5;3;3;3
1681300508-330;22750;PEUGEOT;3008 II;1.2 PURETECH 130 GT LINE;2019;Essence;91521;3.5;3.5;2.5;3.5;3;3.5
1681300508-331;36590;PEUGEOT;5008 II;2.0 BLUEHDI 180 GT LINE;2019;Diesel;86620;3.5;3.5;2.5;3.5;3;3.5
1681300508-332;30520;LAND;ROVER RANGE ROVER EVOQUE phase 2;2.0 TD4 180 SE DYNAMIC;2017;Diesel;100595;3.5;3;2.5;4;3;4
1681300508-333;13180;MAZDA;CX-3;1.5 SKYACTIV-D 105 DYNAMIQUE;2017;Diesel;144781;5;3;2.5;3;3;4
1681300508-334;29330;RENAULT;MEGANE 4;INTENS 1.3 TCE 140CH AUTOMATIQUE;2022;Essence;44981;5;3;2.5;3.5;3.5;3.5
1681300508-335;42980;OPEL;MOKKA II;50kWh ELECTRIQUE 136 GS LINE;2023;electrique;3013;4.5;3;2.5;4;3;3.5
1681300508-336;19750;RENAULT;CLIO V;1.3 TCE 140 RS LINE;2022;Essence;54590;4;3.5;2.5;4;4;4
1681300508-337;135340;CHEVROLET;CORVETTE C8 STINGRAY TARGA;6.2 V8 482 3LT;2023;Essence;26;3.5;4;2.5;3;3;4
1681300508-338;9400;RENAULT;CLIO IV SOCIETE phase 2;1.5 DCI 90 AIR MEDIANAV;2020;Diesel;89870;3;3;2;4.5;2;3
1681300508-339;37920;DS;7 CROSSBACK;2.0 BLUEHDI 180 GRAND CHIC;2020;Diesel;67986;3.5;3;3.5;2;3;3.5
1681300508-340;22210;CITROEN;C3 III;1.2 PURETECH 110 FEEL;2020;Essence;18380;3.5;4;2.5;3.5;3;3.5
1681300510-341;71950;DS;7 CROSSBACK;1.6 E-TENSE 300 PERFORMANCE LINE +;2023;Hybrides;9440;3.5;4;2.5;3.5;3.5;3.5
1681300510-342;26540;DACIA;JOGGER;1.0 TCE 110 SL EXTREME;2023;Essence;472;3;2.5;2;2.5;3.5;3.5
1681300510-343;32460;PEUGEOT;3008 II;2.0 BLUEHDI 180 GT;2020;Diesel;100496;3.5;2.5;3;4;4;3.5
1681300510-344;37060;VOLKSWAGEN;TIGUAN II;2.0 TDI 150 CONFORTLINE;2020;Diesel;26086;3.5;2.5;3;4;3.5;3
1681300510-345;20520;CITROEN;C3 III phase 2;1.5 BLUEHDI 102 SHINE;2022;Diesel;10128;2.5;3.5;3.5;3.5;2;3.5
1681300510-346;13520;PEUGEOT;208;ALLURE 1.2 PURETECH 82CH MANUELLE;2018;Essence;56526;4;3;2;3.5;2;4
1681300510-347;30430;MERCEDES;CLASSE C IV COUPE;2.0 250 211 FASCINATION;2018;Essence;108098;4;3;2;3.5;3.5;3
1681300510-348;26780;RENAULT;SCENIC IV;1.7 DCI 120 ZEN;2021;Diesel;8546;4;3;3.5;3;4;3
1681300510-349;32080;CITROEN;C5 AIRCROSS;1.5 BLUEHDI 131 SHINE PACK;2022;Diesel;46915;4;3;3.5;3;3.5;3.5
1681300510-350;22030;DACIA;DUSTER 2;1.0 TCE 90 PRESTIGE 4X2;2023;Essence;105;4.5;3;3.5;3.5;3.5;4.5
1681300510-351;69300;AUDI;A4 V AVANT phase 3;2.0 40 204 S EDITION;2023;Diesel;14577;3.5;3;2;4;3;4
1681300510-352;22760;PEUGEOT;308 (2E GENERATION);ALLURE 1.2 PURETECH 130CH MANUELLE;2020;Essence;27816;4;3.5;3.5;3;3.5;3.5
1681300510-353;14540;PEUGEOT;208 phase 2;1.6 BLUEHDI 99 ACTIVE BUSINESS;2019;Diesel;93218;3.5;3.5;3.5;4;3.5;4
1681300510-354;54390;VOLKSWAGEN;TIGUAN 2 ALLSPACE;LIFE PLUS 7-PLACES 2.0 TDI 150CH AUTOMATIQUE;2024;Diesel;12;3.5;3.5;3.5;4;2;3.5
1681300510-355;25640;PEUGEOT;3008 II;1.2 PURETECH 130 CROSSWAY;2020;Essence;49166;5;3.5;3;3.5;3.5;4.5
1681300510-356;21420;JEEP;RENEGADE;1.6 MULTIJET 120 BROOKLYN LIMITED;2019;Diesel;56965;3.5;3;3;3.5;4;2.5
1681300510-357;30980;BMW;SERIE 2 F23 CABRIOLET;2.0 220D 190 M SPORT;2018;Diesel;123594;4;3.5;3.5;4;2;2.4
1681300513-358;33460;HYUNDAI;IONIQ phase 2;1.6 HYBRID 141 EXECUTIVE;2023;Hybrides;7147;4;3.5;3.5;4;2;2.7
1681300513-359;86280;BMW;X5 F85 M;4.4 575 M;2017;Essence;100800;3.5;3;2;4;2;2.8
1681300513-360;55720;VOLVO;XC90 II;2.0 D5 235 INSCRIPTION LUXE;2019;Diesel;111150;3;3.5;3;4;2;2.9
1681300513-361;47480;PEUGEOT;3008 II phase 2;1.5 BLUEHDI 130 GT;2023;Diesel;6073;3;3;2.5;4;2;3.1
1681300513-362;179780;PORSCHE;CAYENNE III COUPE;4.0 460 GTS;2021;Essence;52078;3.5;3.5;3;3.5;2;3.2
1681300513-363;28600;FORD;PUMA II;1.0 ECOBOOST 155 ST-LINE;2023;Essence;11;3.5;3;3;4.5;2;3.3
1681300513-364;19770;FORD;TRANSIT IV;2.0 TDCI 130 TREND BUSINESS;2018;Diesel;117402;3.5;3;2;2.5;2;3.4
1681300513-365;36280;PEUGEOT;3008 II;2.0 BLUEHDI 180 GT LINE;2020;Diesel;40535;3;2.5;2;3.5;2;3.5
1681300513-366;28330;DS;3 CROSSBACK;E-TENSE 136 PERFORMANCE LINE +;2021;electrique;19240;3;2.5;2;3.5;2;3.4
1681300513-367;287480;MCLAREN;600 LT SPIDER;3.8 V8 600;2019;Essence;9018;3.5;2.5;2;4;4;3.7
1681300513-368;23050;AUDI;A3 III SPORTBACK;2.0 TDI 184 AMBITION LUXE;2017;Diesel;154398;3.5;2.5;2;4;2;3.8
1681300513-369;41100;KIA;E-NIRO phase 2;64kWh ELECTRIQUE 204 PREMIUM;2021;electrique;46520;3;3;2;4;4;3.9
1681300513-370;208930;PORSCHE;911 TYPE 992;3.0 450 CARRERA 4S;2021;Essence;28024;4;1.5;2;3.5;2;3
1681300513-371;23830;CITROEN;C3 AIRCROSS phase 2;1.5 BLUEHDI 110 SHINE;2023;Diesel;2731;3.5;1.5;2;3.5;5;4
1681300513-372;51040;MERCEDES;CLASSE C IV COUPE phase 2;1.5 200 184 AMG LINE;2019;Essence;47076;3;2.5;2;4;2;2.5
1681300513-373;40000;CITROEN;C5 AIRCROSS;1.6 PURETECH 181 SHINE;2022;Essence;30592;3;2.5;2;4;3;3.5
1681300513-374;26020;BMW;X1 F48;1.5 SDRIVE18I 140 LOUNGE;2019;Essence;102347;3.5;1.5;2;3.5;2;3
1681300515-375;24280;CITROEN;C3 III phase 2;1.2 PURETECH 110 SHINE;2023;Essence;171;2.5;3;2;4.5;2;4
1681300515-376;38420;PEUGEOT;3008 II phase 2;1.5 BLUEHDI 130 ACTIVE PACK;2023;Diesel;4960;2.5;3;2;4.5;2;2.5
1681300515-377;20630;RENAULT;MEGANE 4;INTENS 1.3 TCE FAP 140CH MANUELLE;2020;Essence;30079;2.5;3;2;4.5;2;3.5
1681300515-378;21780;AUDI;A4 V;2.0 TDI 150 DESIGN LUXE;2017;Diesel;107442;3;1.5;2.5;5;2;2
1681300515-379;18170;NISSAN;QASHQAI II phase 2;1.5 DCI 115 N-CONNECTA;2019;Diesel;99806;2.5;3.5;2;5;2;3
1681300515-380;18650;RENAULT;MEGANE 4;LIMITED 1.3 TCE FAP 115CH MANUELLE;2021;Essence;24163;4.5;2.5;2;3.5;2;3
1681300515-381;30360;DACIA;DUSTER 2;1.3 TCE 150 FAP EDC II PRESTIGE;2023;Essence;9125;4.5;3;2;3.5;2;3
1681300515-382;172690;AUDI;R8 II SPYDER;5.2 V10 540;2020;Essence;20520;4;3;2;3.5;5;3
1681300515-383;71980;MERCEDES;GLC phase 2;2.0 300 D 245 AMG LINE;2022;Diesel;12000;4;4;2;4;2;3
1681300515-384;42930;VOLVO;XC60 II;2.0 D4 190 R-DESIGN;2019;Diesel;50903;4;4;2;4.5;3;3
1681300515-385;36870;VOLKSWAGEN;GOLF VII SW ALLTRACK phase 2;2.0 TDI 150 ALLTRACK;2020;Diesel;45217;3;3;2;5;2;3
1681300515-386;90040;LAND;ROVER RANGE ROVER SPORT II phase 2;3.0 D300 300 HSE DYNAMIC STEALTH EDITION;2022;null;63099;2.5;3;2;5;4;3
1681300515-387;29140;CITROEN;C5 AIRCROSS;1.2 PURETECH 130 C-SERIES;2023;Essence;18945;2.5;3;2;5;3.5;3
1681300515-388;15150;RENAULT;SCENIC IV;1.6 DCI 130 BUSINESS;2018;Diesel;143492;2.5;3;2;5;3.5;3
1681300515-389;32180;JEEP;RENEGADE phase 2;1.0 T3 120 LIMITED;2023;Essence;5750;3.5;3;2;5;5;3
1681300515-390;31040;PEUGEOT;2008 (2E GENERATION);ALLURE PACK 1.2 PURETECH S&S 130CH MANUELLE;2023;Essence;616;3.5;3;2;5;2;3
1681300515-391;39300;AUDI;Q5 II;2.0 TDI 190 DESIGN LUXE;2018;Diesel;137218;2.8;3;2;5;3;3
1681300517-392;23160;PEUGEOT;208 II;1.2 PURETECH 100 STYLE;2023;Essence;164;2.9;3;2;5;2;3
1681300517-393;46380;PEUGEOT;5008 II phase 2;1.5 BLUEHDI 130 STYLE;2023;Diesel;14430;3.5;3;2;5;2;3
1681300517-394;49660;AUDI;Q3 II SPORTBACK;1.5 35 150;2023;Essence;23;3.5;3;2;5;5;3
1681300517-395;33770;VOLKSWAGEN;GOLF VIII;1.4 E-HYBRID 204 STYLE 1ST;2021;Hybrides;53726;3.5;3;2;5;3.5;3
1681300517-396;73390;BMW;X3 G01;3.0 XDRIVE30DA 286 M SPORT;2023;Diesel;9073;3.5;3;2;5;3.5;3
1681300517-397;22300;PEUGEOT;208 II;1.2 PURETECH 100 ALLURE;2022;Essence;63819;3.5;3;2;5;4;3
1681300517-398;13300;VOLKSWAGEN;GOLF VII;1.6 TDI 110 CONFORTLINE;2017;Diesel;184257;3.5;3;2;5;3.5;3
1681300517-399;21320;RENAULT;CLIO 5;INTENS 1.0 TCE 90CH MANUELLE;2022;Essence;11179;3.5;3;2;5;3.5;3
1681300517-400;24540;CITROEN;C3 AIRCROSS;1.5HDI 110 FEEL+OPTIONS;2022;Diesel;12;3.5;3;2;5;2;3
1681300517-401;19600;PEUGEOT;208 (2E GENERATION);1.2 PURETECH 75 ACTIVE PACK;2023;Essence;1503;3.5;3;2;5;2;3
1681300517-402;36380;PEUGEOT;308 III;1.2 PURETECH 130 GT PACK;2022;Essence;4552;3.5;3;2;5;5;3
1681300517-403;33050;MERCEDES;CLASSE E V BREAK;2.0 220 D 194 AVANTGARDE LINE;2019;Diesel;88799;3.5;3;2;5;2;3
1681300517-404;63220;AUDI;Q3 II SPORTBACK;2.0 40 200 S EDITION;2022;Diesel;14260;3.5;3;2;5;3.5;3
1681300517-405;37570;SKODA;KODIAQ;2.0 TDI 150 LAURIN & KLEMENT;2021;Diesel;135006;3.5;3;2;5;2;3
1681300517-406;22070;VOLKSWAGEN;T-CROSS;1.0 TSI 115 LOUNGE;2020;Essence;91585;3.5;3;2;5;2;3
1681300517-407;45850;AUDI;Q2 phase 2;1.5 35 150 S LINE PLUS;2023;Essence;31101;3.5;3;2;5;2;3
1681300517-408;23710;CITROEN;C4 III;1.2 PURETECH 131 SHINE;2022;Essence;53774;3.5;3;2;5;2;3
1681300519-409;71950;DS;7 CROSSBACK;1.6 E-TENSE 300 PERFORMANCE LINE +;2023;Hybrides;9440;3.5;3;2;5;2;3
1681300519-410;18850;PEUGEOT;308 (2E GENERATION) SW;SW 1.5 BLUEHDI 100 ACTIVE;2020;Diesel;40471;3.5;3;2;5;2;3
1681300519-411;44720;VOLVO;XC40;2.0 T5 247 MOMENTUM;2019;Essence;53965;3.5;3;2;5;2;3
1681300519-412;42160;AUDI;Q5 II;2.0 40 190 DESIGN;2020;Diesel;67838;3.5;3;2;5;3.7;3
1681300519-413;44080;BMW;SERIE 3 G21 TOURING;2.0 320D 190 LUXURY;2021;Diesel;60585;3.5;3;2;5;5;3
1681300519-414;45640;DS;7 CROSSBACK;1.6 PURETECH 180 PERFORMANCE LINE;2023;Essence;9603;3.5;3;2;5;3.7;3
1681300519-415;26860;SKODA;KAMIQ;1.5 TSI 150 AMBITION;2022;Essence;48861;3.5;3;2;5;5;3
1681300519-416;22680;FIAT;500 C III;1.0 HYBRIDE 70 DOLCEVITA;2023;Essence;2565;3.5;3;2;5;2;3
1681300519-417;21220;RENAULT;KADJAR;1.2 TCE 130 INTENS;2018;Essence;86730;3.5;3;2;5;5;3
1681300519-418;203390;PORSCHE;911 TYPE 992;3.0 450 CARRERA S;2021;Essence;29920;3.5;3;2;5;2;3
1681300519-419;35980;NISSAN;QASHQAI III;1.3 HYBRID 158 N-STYLE;2023;Essence;39222;3.5;3;2;5;4;3
1681300519-420;20600;PEUGEOT;308 II phase 2;1.5 BLUEHDI 130 GT LINE;2020;Diesel;56991;3.5;3;2;5;2;3
1681300519-421;42880;MERCEDES;CLASSE C IV AMG;3.0 450 367 AMG;2017;Essence;90200;3.5;3;2;5;2;3
1681300519-422;233940;PORSCHE;911;TARGA 4S 450 CV PDK;2021;Essence;11665;3.5;3;2;5;2;3
1681300519-423;21280;FORD;TOURNEO COURIER phase 2;1.5 TD 101 TREND;2020;Diesel;42971;3.5;3;2;5;2;3
1681300519-424;18130;DACIA;DUSTER phase 2;1.5 DCI 110 BLACK TOUCH 2017;2018;Diesel;114857;3.5;3;2;5;2;3
1681300519-425;18280;PEUGEOT;308 II SW;1.6 BLUEHDI 120 STYLE;2018;Diesel;126252;3.5;3;2;5;2;3
1681300522-426;33460;HYUNDAI;IONIQ phase 2;1.6 HYBRID 141 EXECUTIVE;2023;Hybrides;7147;3.5;3;2;5;3.7;3
1681300522-427;39410;PEUGEOT;308 III SW;1.2 PURETECH 130 GT;2023;Essence;1;3.5;3;2;5;2;3
1681300522-428;14780;RENAULT;CLIO IV phase 2;0.9 TCE 90 BUSINESS;2020;Essence;29052;3.5;3;2;5;3;3
1681300522-429;18900;PEUGEOT;2008 phase 2;1.2 PURETECH 110 ALLURE BUSINESS;2018;Essence;42120;3.5;3;2;5;2;3
1681300522-430;49080;AUDI;TT III S;2.0 TFSI 310;2017;Essence;62408;3.5;3;2;5;4;3
1681300522-431;30360;FORD;KUGA 2;BVA 1.5 FLEXIFUEL E85 150 TITANIUM 4X2;2020;Essence;68200;3.5;3;2;5;2;3
1681300522-432;27100;SKODA;KAROQ;1.6 TDI 116 BUSINESS;2020;Diesel;34953;3.5;3;2;5;5;3
1681300522-433;13610;RENAULT;CLIO V SOCIETE;1.5 DCI 85 ZEN REVERSIBLE;2021;Diesel;118275;3.5;3;2;5;3.5;3
1681300522-434;35200;CITROEN;SPACETOURER;1.6 BLUEHDI 115 FEEL;2017;Diesel;70673;3.5;3;2;5;3.5;3
1681300522-435;28630;PEUGEOT;E-208 II;50kWh ELECTRIQUE 136 ROADTRIP;2022;electrique;36183;3.5;3;2;5;3;3
1681300522-436;41490;VOLVO;XC60 II;2.0 D4 190 R-DESIGN;2019;Diesel;85044;3.5;3;2;5;3.7;3
1681300522-437;36160;VOLKSWAGEN;TIGUAN II;2.0 TDI 190 CONFORTLINE;2020;Diesel;44914;3.5;3;2;5;4;3
1681300522-438;51410;KIA;SPORTAGE V;1.6 T-GDI 230 GT LINE PREMIUM;2024;Hybrides;15718;3.5;3;2;5;2;3
1681300522-439;67400;AUDI;A6 V AVANT;2.0 TFSIE 367 COMPETITION;2022;Hybrides;60321;3.5;3;2;5;3.7;3
1681300522-440;14660;PEUGEOT;108;1.0 VTI 72 ALLURE;2021;Essence;13719;3.5;3;2;5;2;3
1681300522-441;28060;BMW;X2 F39;2.0 XDRIVE18D 150 BUSINESS DESIGN;2019;Diesel;104788;3.5;3;2;5;3.5;3
1681300522-442;62600;LAND;ROVER RANGE ROVER VELAR;3.0 D300 300 R-DYNAMIC;2018;Diesel;96199;3.5;3;2;5;3.5;3
1681300524-443;24280;CITROEN;C3 III phase 2;1.2 PURETECH 110 SHINE;2023;Essence;171;3.5;3;2;5;5;3
1681300524-444;22300;OPEL;CORSA VI;1.2 100 ELEGANCE;2021;Essence;52777;3.5;3;2;5;3.5;3
1681300524-445;19760;SEAT;IBIZA V phase 2;1.0 ECOTSI 95 URBAN;2023;Essence;21470;3.5;3;2;5;3.5;3
1681300524-446;50710;FORD;KUGA III;2.5 DURATEC 224 VIGNALE;2022;Hybrides;20140;3.5;3;2;5;2;3
1681300524-447;44380;OPEL;VIVARO III;2.0 DIESEL 145 PACK BUSINESS;2023;Diesel;22;3.5;3;2;5;3.7;3
1681300524-448;36720;PEUGEOT;308 III;1.2 PURETECH 130 GT;2024;Essence;1;3.5;3;2;5;2;3
1681300524-449;52800;TESLA;MODEL 3;50kWh 306 STANDARD PLUS;2022;electrique;9867;3.5;3;2;5;2;3
1681300524-450;19220;DACIA;SANDERO III;1.0 TCE 92 CONFORT;2023;Essence;11;3.5;3;2;5;2;3
1681300524-451;52480;PEUGEOT;5008 II phase 2;1.6 PURETECH 180 GT;2022;Essence;23125;3.5;3;2;5;2;3
1681300524-452;51050;LAND;ROVER RANGE ROVER EVOQUE II;2.0 D240 240 R-DYNAMIC S;2020;null;113850;3.5;3;2;5;2;3
1681300524-453;35820;PEUGEOT;3008 (2E GENERATION);1.2 PURETECH 130 ALLURE;2023;Essence;1257;3.5;3;2;5;2;3
1681300524-454;29930;VOLKSWAGEN;GOLF VIII;1.5 ETSI 150 STYLE 1ST;2021;Essence;29604;3.5;3;2;5;2;3
1681300524-455;27090;PEUGEOT;208 II;1.2 PURETECH 100 GT;2023;Essence;1;3.5;3;2;5;2;3
1681300524-456;30730;PEUGEOT;308 II phase 2;1.2 PURETECH 130 ALLURE;2022;Essence;44772;3.5;3;2;5;2;3
1681300524-457;27840;CITROEN;C5 AIRCROSS;1.5 BLUEHDI 131 FEEL;2021;Diesel;49121;3.5;3;2;5;2;3
1681300524-458;58480;BMW;X4 G02;3.0 XDRIVE30DA 265 M SPORT;2020;Diesel;71078;3.5;3;2;5;3.8;3
1681300524-459;17000;CITROEN;C3 III phase 2;1.2 PURETECH 83 FEEL BUSINESS;2021;Essence;13711;3.5;3;2;5;2;3
1681300526-460;54800;CITROEN;C5 AIRCROSS phase 2;1.6 HYBRIDE 225 SHINE PACK;2023;Hybrides;159;3.5;3;2;5;3.8;3
1681300526-461;21040;OPEL;GRANDLAND X;1.6 DIESEL 120 BUSINESS EDITION;2019;Diesel;82608;3.5;3;2;5;2;3
1681300526-462;14330;RENAULT;SCENIC IV;1.5 DCI 110 BUSINESS;2019;Diesel;95888;3.5;3;2;5;2;3
1681300526-463;32440;FORD;PUMA 2;ST-LINE 1.0 ECOBOOST MHEV 125CH MANUELLE;2023;Hybrides;12;3.5;3;2;5;2;3
1681300526-464;40460;MERCEDES;CLASSE A IV;2.0 200 D 150 AMG LINE;2022;Diesel;82264;3.5;3;2;5;2;3
1681300526-465;32680;PEUGEOT;E-208 II;50kWh ELECTRIQUE 136 ALLURE BUSINESS;2021;electrique;57535;3.5;3;2;5;5;3
1681300526-466;14430;SEAT;IBIZA V;1.0 MPI 80 STYLE;2020;Essence;67945;3.5;3;2;5;2;3
1681300526-467;41220;PEUGEOT;RIFTER;GT 1.5 BLUE HDI 130 +OPTIONS;2023;Diesel;13;3.5;3;2;5;2;3
1681300526-468;36770;TOYOTA;C-HR phase 2;2.0 HYBRIDE 184 GR SPORT;2023;Hybrides;32623;3.5;3;2;5;2;3
1681300526-469;26050;PEUGEOT;208 II;1.2 PURETECH 100 GT;2022;Essence;14824;3.5;3;2;5;2;3
1681300526-470;15800;PEUGEOT;2008 phase 2;1.2 PURETECH 82 STYLE;2019;Essence;43731;3.5;3;2;5;2;3
1681300526-471;88620;LAND;ROVER RANGE ROVER SPORT II phase 2;2.0 P400E 404 HSE DYNAMIC;2020;Hybrides;99786;3.5;3;2;5;2;3
1681300526-472;32080;FORD;TRANSIT IV;2.0 TDCI 130 TREND BUSINESS;2020;Diesel;80499;3.5;3;2;5;3.8;3
1681300526-473;70660;BMW;SERIE 4 F82 M4;3.0 450 M4 PACK COMPETITION;2017;Essence;96330;3.5;3;2;5;2;3
1681300526-474;38600;MERCEDES;CLASSE E V;2.0 200 D 150 FASCINATION;2018;Diesel;30420;3.5;3;2;5;2;3
1681300526-475;31190;BMW;X1 F48 phase 2;1.5 SDRIVE18I 140 LOUNGE;2020;Essence;55668;3.5;3;2;5;2;3
1681300526-476;39660;PEUGEOT;3008 (2E GENERATION);1.2 PURETECH 130 ALLURE;2023;Essence;3199;3.5;3;2;5;5;3
1681300528-477;26410;CITROEN;C3 III phase 2;1.2 PURETECH 110 SHINE;2023;Essence;186;3.5;3;2;5;2;3
1681300528-478;37790;AUDI;A5 SPORTBACK II;2.0 TFSI 252 BUSINESS LINE;2018;Essence;125400;3.5;3;2;5;2;3
1681300528-479;23210;PEUGEOT;PARTNER II FOURGON phase 2;1.6 BLUEHDI 100 PREMIUM PACK;2018;Diesel;122642;3.5;3;2;5;3.5;3
1681300528-480;23430;PEUGEOT;3008 II;1.6 BLUEHDI 120 ALLURE BUSINESS;2019;Diesel;119659;3.5;3;2;5;3.5;3
1681300528-481;29020;AUDI;A1 II SPORTBACK;1.0 TFSI 116 ADVANCED;2021;Essence;31149;3.5;3;2;5;2;3
1681300528-482;46950;AUDI;A4 (5E GENERATION) AVANT;AVANT 40 TFSI 190 S LINE S-TRONIC MHEV;2021;Essence;66124;3.5;3;2;5;3.8;3
1681300528-483;31590;MINI;COUNTRYMAN II;1.5 HYBRID 224 COOPER S;2019;Hybrides;45780;3.5;3;2;5;5;3
1681300528-484;41050;AUDI;Q3 II;1.5 35 150 DESIGN LUXE;2020;Hybrides;74592;3.5;3;2;5;2;3
1681300528-485;43420;FORD;RANGER III phase 3;3.2 ECOBLUE 200 LIMITED;2020;Diesel;73066;3.5;3;2;5;3.8;3
1681300528-486;34880;PEUGEOT;EXPERT III FOURGON;2.0 BLUEHDI 150 PREMIUM;2022;Diesel;15191;3.5;3;2;5;2;3
1681300528-487;38690;PEUGEOT;RIFTER;BVM6 RIFTER STANDARD BLUEHDI 130 S&S 5PL GT;2023;Diesel;12;3.5;3;2;5;3.5;3
1681300528-488;50290;BMW;SERIE 3 G20;2.0 330E 292 M SPORT;2021;Hybrides;24295;3.5;3;2;5;3.5;3
1681300528-489;24130;VOLKSWAGEN;POLO VI;1.0 TSI 95 UNITED;2022;Essence;18905;3.5;3;2;5;2;3
1681300528-490;143830;MASERATI;GRANTURISMO phase 2;4.7 V8 460 MC;2019;Essence;39162;3.5;3;2;5;3.5;3
1681300528-491;19960;PEUGEOT;308 II SW phase 2;1.2 PURETECH 130 GT LINE;2019;Essence;93279;3.5;3;2;5;3.5;3
1681300528-492;33560;VOLKSWAGEN;T-ROC;LOUNGE 1.5 TSI ACT 150CH AUTOMATIQUE;2022;Essence;20111;3.5;3;2;5;2;3
1681300528-493;16010;PEUGEOT;308 II;1.2 PURETECH 110 ALLURE;2018;Essence;109224;3.5;3;2;5;3.8;3
1681300531-494;33460;HYUNDAI;IONIQ phase 2;1.6 HYBRID 141 EXECUTIVE;2023;Hybrides;7147;3.5;3;2;5;2;3
1681300531-495;50470;LAND;ROVER RANGE ROVER EVOQUE II;2.0 D150 150 SE;2020;Diesel;59800;3.5;3;2;5;2;3
1681300531-496;126480;PORSCHE;CAYENNE III COUPE;3.0 E-HYBRID 462;2021;Hybrides;15730;3.5;3;2;5;3.5;3
1681300531-497;14260;PEUGEOT;208 phase 2;1.2 PURETECH 82 SIGNATURE;2019;Essence;75565;3.5;3;2;5;3.6;3
1681300531-498;24270;AUDI;A3 III SPORTBACK phase 2;1.6 TDI 116 SPORT;2019;Diesel;120780;3.5;3;2;5;2;3
1681300531-499;25970;BMW;SERIE 1 F20 5 PORTES phase 2;2.0 118D 150 SPORT;2019;Diesel;54645;3.5;3;2;5;2;3
