id;PRIX;Marque;MODELE;MOTEUR;ANNEE;CARBURANT;KILOMETRAGE;NoteConsommation;Fiabilite;DureeGarantie;Performance;CoteAttendue;Habitabilite
1681300704-1685;41000;TOYOTA;COROLLA XII phase 2;2.0 HYBRIDE 152 COLLECTION;2023;Hybrides;6050;4;3;2;5;2;3
1681300704-1686;29980;ALFA;ROMEO GIULIA II;2.2 150 SUPER;2020;Diesel;61588;4;3;2;5;3.5;3
1681300704-1687;27100;CITROEN;C4 III;1.2 PURETECH 131 FEEL PACK;2022;Essence;50274;4;3;2;5;3.5;3
1681300704-1688;31050;VOLKSWAGEN;TIGUAN 2 ALLSPACE;2.0 TDI 150 CONFORTLINE BUSINESS;2020;Diesel;90881;4;3;2;5;2;3
1681300704-1689;48040;LEXUS;NX II;2.5 300H 155 LUXE PLUS;2022;Hybrides;42066;4;3;2;5;2;3
1681300704-1690;39580;ALFA;ROMEO STELVIO;2.2 DIESEL 210 TURISMO;2019;Diesel;91080;4;3;2;5;2;3
1681300704-1691;317180;PORSCHE;911 TYPE 992 GT3;4.0 510 GT3 PACK TOURING;2023;Essence;24522;4;3;2;5;2;3
1681300704-1692;41530;MERCEDES;CLASSE C IV phase 2;1.6 200 D 160 AMG LINE;2021;Diesel;64903;4;3;2;5;2;3
1681300704-1693;27580;MERCEDES;CLASSE B II phase 2;1.6 180 122 STARLIGHT EDITION;2019;Essence;70444;4;3;2;5;2;3
1681300704-1694;14690;FIAT;500 X;1.4 MULTIAIR 140 LOUNGE;2017;Essence;84650;4;3;2;5;2;3
1681300704-1695;34200;PEUGEOT;2008 II;1.5 BLUEHDI 130 ALLURE PACK;2023;Diesel;13;4;3;2;5;2;3
1681300704-1696;40260;VOLKSWAGEN;ID.4;204;2022;electrique;39059;4;3;2;5;2;3
1681300704-1697;29240;MINI;III 3P;2.0 170 COOPER S HEDDON STREET;2020;Diesel;51555;4;3;2;5;2;3
1681300704-1698;47580;AUDI;Q2 phase 2;1.5 35 150 S LINE;2023;Essence;23807;4;3;2;5;2;3
1681300704-1699;38610;VOLKSWAGEN;ID.3;62kWh 145 BUSINESS;2022;electrique;61891;4;3;2;5;2;3
1681300704-1700;29740;VOLKSWAGEN;GOLF VII phase 2;1.5 TSI 150 CARAT;2018;Essence;69812;4;3;2;5;2;3
1681300707-1701;29970;PEUGEOT;208 II;1.2 PURETECH 100 GT PACK;2023;Essence;162;4;3;2;5;2;3
1681300707-1702;33270;MERCEDES;GLA phase 2;2.1 200 D 136 SENSATION;2020;Diesel;61447;4;3;2;5;2;3
1681300707-1703;12740;PEUGEOT;308 II SW phase 2;1.5 BLUEHDI 130 ACTIVE BUSINESS;2019;Diesel;199304;4;3;2;5;2;3
1681300707-1704;20370;RENAULT;GRAND SCENIC IV;1.7 DCI 120 BUSINESS;2020;Diesel;138031;4;3;2;5;2;3
1681300707-1705;24270;BMW;X1 F48;2.0 SDRIVE18D 150 BUSINESS DESIGN;2020;Diesel;112210;4;3;2;5;2;3
1681300707-1706;32250;PEUGEOT;2008 II;1.2 PURETECH 130 STYLE;2023;Essence;20566;4;3;2;5;2;3
1681300707-1707;24290;PEUGEOT;308 II phase 2;2.0 BLUEHDI 180 GT;2019;Diesel;116584;4;3;2;5;2;3
1681300707-1708;47840;AUDI;A3 IV SPORTBACK;1.4 40 204 S LINE;2022;Hybrides;16384;4;3;2;5;2;3
1681300707-1709;40190;VOLVO;XC40;1.5 T4 211 INSCRIPTION BUSINESS;2023;Hybrides;50939;4;3;2;5;2;3
1681300707-1710;14030;FIAT;PANDA III;1.2 69 CITY CROSS;2019;Essence;24408;4;3;2;5;2;3
1681300707-1711;33880;FIAT;SCUDO III;1.5 MULTIJET 120 PRO LOUNGE;2024;Diesel;11;4;3;2;5;2;3
1681300707-1712;37320;AUDI;Q2 phase 2;1.0 30 110 DESIGN;2022;Essence;10173;4;3;2;5;2;3
1681300707-1713;66990;AUDI;Q3 II;1.4 45 245 S LINE;2023;Hybrides;10505;4;3;2;5;2;3
1681300707-1714;42440;VOLVO;XC40;2.0 D3 150 R-DESIGN;2021;Diesel;35398;4;3;2;5;2;3
1681300707-1715;75580;MERCEDES;GLC COUPE phase 2;2.0 220 D 194 BUSINESS LINE;2023;Diesel;8925;4;3;2;5;2;3
1681300707-1716;52390;FORD;MUSTANG VI CABRIOLET phase 2;5.0 450 GT;2019;Essence;7980;4;3;2;5;2;3
1681300707-1717;61980;JAGUAR;F-TYPE COUPE;3.0 V6 380 S;2017;Essence;54567;4;3;2;5;2;3
1681300709-1718;41870;CITROEN;E-C4 III;136 FEEL PACK;2023;electrique;159;4;3;2;5;2;3
1681300709-1719;32980;JEEP;RENEGADE phase 2;1.5 T4 130 LONGITUDE;2024;Essence;88;4;3;2;5;2;3
1681300709-1720;73430;MERCEDES;GLC 2;2.0 300 197 AMG LINE;2022;null;19097;4;3;2;5;2;3
1681300709-1721;17380;DACIA;SANDERO III;1.0 TCE 92 CONFORT;2022;Essence;22129;4;3;2;5;3.5;3
1681300709-1722;30640;PEUGEOT;308 III;1.2 PURETECH 130 ALLURE PACK;2023;Essence;16930;4;3;2;5;3.5;3
1681300709-1723;25380;FIAT;500 X phase 2;1.0 FIREFLY 120 SPORT;2022;Essence;33738;4;3;2;5;2;3
1681300709-1724;16360;CITROEN;C3 III;1.2 PURETECH 110 SHINE BUSINESS;2020;Essence;78168;4;3;2;5;2;3
1681300709-1725;25780;MINI;III 3P;1.5 136 COOPER HEDDON STREET;2020;Essence;19974;4;3;2;5;2;3
1681300709-1726;44440;AUDI;Q2 phase 2;1.5 35 150 S LINE PLUS;2023;Essence;5130;4;3;2;5;2;3
1681300709-1727;91620;BMW;SERIE 7 G11 phase 2;3.0 394 M SPORT;2020;Hybrides;71920;4;3;2;5;2;3
1681300709-1728;29140;VOLKSWAGEN;T-ROC;1.5 TSI 150 R-LINE;2019;Essence;63700;4;3;2;5;2;3
1681300709-1729;26810;BMW;SERIE 2 F45 ACTIVE TOURER;2.0 220I 192 LOUNGE;2017;Essence;78307;4;3;2;5;3.5;3
1681300709-1730;19180;ABARTH;500 II phase 2;1.4 T-JET 145 595;2018;Essence;67313;4;3;2;5;3.5;3
1681300709-1731;34420;CITROEN;BERLINGO III MULTISPACE;1.5 BLUEHDI 102 RIP CURL;2022;Diesel;23309;4;3;2;5;2;3
1681300709-1732;74110;MERCEDES;CLASSE CLS III;2.9 400 D 340 AMG LINE+;2021;Diesel;71594;4;3;2;5;3.5;3
1681300709-1733;18020;CITROEN;C3 AIRCROSS;1.2 PURETECH 110 SHINE;2022;Essence;58390;4;3;2;5;3.5;3
1681300709-1734;21980;CITROEN;C3 AIRCROSS;1.2 PURETECH 131 SHINE;2022;Essence;49437;4;3;2;5;2;3
1681300712-1735;22220;PEUGEOT;208 II;1.2 PURETECH 100 ACTIVE PACK;2023;Essence;8560;4;3;2;5;2;3
1681300712-1736;38000;MAZDA;CX-30;2.0 E-SKYACTIV-X 186 HOMURA;2023;Essence;9940;4;3;2;5;2;3
1681300712-1737;50290;SKODA;ENYAQ;204;2022;electrique;36504;4;3;2;5;2;3
1681300712-1738;17830;NISSAN;QASHQAI II phase 2;1.2 DIG-T 115 BUSINESS EDITION;2019;Essence;84507;4;3;2;5;2;3
1681300712-1739;36450;BMW;SERIE 1 F40;1.5 116I 109 M SPORT;2022;Essence;58214;4;3;2;5;2;3
1681300712-1740;30750;SUZUKI;VITARA IV phase 2;1.5 DUALJET 115 STYLE;2023;Essence;7931;4;3;2;5;2;3
1681300712-1741;16040;RENAULT;CLIO V;1.5 DCI 85 BUSINESS;2021;Diesel;47411;4;3;2;5;2;3
1681300712-1742;13820;PEUGEOT;108;1.0 VTI 72 STYLE;2021;Essence;30781;4;3;2;5;2;3
1681300712-1743;72470;VOLVO;XC60 II phase 2;2.0 T6 340 R-DESIGN;2022;Hybrides;18029;4;3;2;5;2;3
1681300712-1744;40890;KIA;XCEED phase 2;1.6 CRDI 136 GT-LINE PREMIUM;2023;Diesel;6435;4;3;2;5;2;3
